groupId,artifactId,version
org.openecomp.so.libs.openstack-java-sdk,heat-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,keystone-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,keystone-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,nova-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,nova-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,openstack-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,quantum-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,quantum-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,swift-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,swift-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk.client-connectors,http-connector,1.2.2
org.openecomp.so.libs.openstack-java-sdk.client-connectors,jersey-connector,1.2.2
org.openecomp.so.libs.openstack-java-sdk.client-connectors,jersey2-connector,1.2.2
org.openecomp.so.libs.openstack-java-sdk.client-connectors,resteasy-connector,1.2.2
